Sender,Sender ID,Sender birth,Sender death,Recipient,Recipient ID,Recipient birth,Recipient death,Letter date
Isaac Beeckman,7807076,1588,1637,Marin Mersenne,7584584,1588,1648,03-1629
Isaac Beeckman,7807076,1588,1637,Marin Mersenne,7584584,1588,1648,06-1629
Isaac Beeckman,7807076,1588,1637,Marin Mersenne,7584584,1588,1648,01-10-1629
Isaac Beeckman,7807076,1588,1637,Marin Mersenne,7584584,1588,1648,07-10-1631
Constantijn Huygens,7807069,1596,1687,Jacob Golius,7807199,1596,1667,07-04-1632
Jacob Golius,7807199,1596,1667,Constantijn Huygens,7807069,1596,1687,16-04-1632
David le Leu de Wilhem,7807253,1588,1658,Constantijn Huygens,7807069,1596,1687,04-06-1632
Constantijn Huygens,7807069,1596,1687,David le Leu de Wilhem,7807253,1588,1658,19-09-1632
Constantijn Huygens,7807069,1596,1687,Jacob Golius,7807199,1596,1667,21-10-1632
Jacob Golius,7807199,1596,1667,Constantijn Huygens,7807069,1596,1687,01-11-1632
Henricus Reneri,7568881,1593,1639-03-20,Constantijn Huygens,7807069,1596,1687,14-04-1635
Abraham de Mory,7807388,1600,1645,Constantijn Huygens,7807069,1596,1687,16-07-1636
Pierre de Fermat,7584740,1601,1665,Marin Mersenne,7584584,1588,1648,04-1637
Hugo de Groot,7807075,1583,1645,Nicolas-Claude Fabry de Peiresc,7807131,1580,1637,22-05-1637
Anthony Studler van Surck,8100268,1607,1666,Constantijn Huygens,7807069,1596,1687,17-08-1637
Pierre de Fermat,7584740,1601,1665,Marin Mersenne,7584584,1588,1648,11-1637
Alphonse Pollot,7582261,1602,1668,Constantijn Huygens,7807069,1596,1687,30-01-1638
David le Leu de Wilhem,7807253,1588,1658,Constantijn Huygens,7807069,1596,1687,05-06-1638
Constantijn Huygens,7807069,1596,1687,Erycius Puteanus,7807085,1574,1646,25-06-1638
Constantijn Huygens,7807069,1596,1687,Daniël Heinsius,7807080,1580,1655,30-06-1638
Hugo de Groot,7807075,1583,1645,Samson Johnson,7807331,1603,1661,30-09-1638
Florimond Debeaune,7807514,1601,1652,Marin Mersenne,7584584,1588,1648,13-11-1638
Erycius Puteanus,7807085,1574,1646,Constantijn Huygens,7807069,1596,1687,14-12-1638
Constantijn Huygens,7807069,1596,1687,Erycius Puteanus,7807085,1574,1646,23-12-1638
Florimond Debeaune,7807514,1601,1652,Marin Mersenne,7584584,1588,1648,03-04-1639
Constantijn Huygens,7807069,1596,1687,Jan Albert Ban,9911049,1598,1644,26-08-1639
Constantijn Huygens,7807069,1596,1687,Marin Mersenne,7584584,1588,1648,26-08-1639
Jan Albert Ban,9911049,1598,1644,Constantijn Huygens,7807069,1596,1687,04-10-1639
Jan Albert Ban,9911049,1598,1644,Constantijn Huygens,7807069,1596,1687,16-10-1639
David le Leu de Wilhem,7807253,1588,1658,Constantijn Huygens,7807069,1596,1687,22-06-1641
David le Leu de Wilhem,7807253,1588,1658,Constantijn Huygens,7807069,1596,1687,11-07-1641
Constantijn Huygens,7807069,1596,1687,Caspar Barlaeus,7807074,1584,1648,05-03-1642
Caspar Barlaeus,7807074,1584,1648,Constantijn Huygens,7807069,1596,1687,10-03-1642
Constantijn Huygens,7807069,1596,1687,Marin Mersenne,7584584,1588,1648,07-04-1642
Constantijn Huygens,7807069,1596,1687,Jan Albert Ban,9911049,1598,1644,29-04-1642
Constantijn Huygens,7807069,1596,1687,Caspar Barlaeus,7807074,1584,1648,01-08-1642
Caspar Barlaeus,7807074,1584,1648,Constantijn Huygens,7807069,1596,1687,07-08-1642
Henrick Bruno,7807538,1617,1664,Constantijn Huygens,7807069,1596,1687,16-08-1642
André Rivet,7807233,1572,1651,Constantijn Huygens,7807069,1596,1687,17-08-1642
Constantijn Huygens,7807069,1596,1687,Caspar Barlaeus,7807074,1584,1648,01-09-1642
Caspar Barlaeus,7807074,1584,1648,Constantijn Huygens,7807069,1596,1687,05-10-1642
Jan Albert Ban,9911049,1598,1644,Constantijn Huygens,7807069,1596,1687,18-10-1642
David le Leu de Wilhem,7807253,1588,1658,Constantijn Huygens,7807069,1596,1687,08-07-1643
David le Leu de Wilhem,7807253,1588,1658,Constantijn Huygens,7807069,1596,1687,12-07-1643
Jacob van der Burgh,7807158,1599,1659,Constantijn Huygens,7807069,1596,1687,17-11-1643
Hugo de Groot,7807075,1583,1645,Willem de Groot,7807079,1597,1662,02-01-1644
Adriaan Heereboord,7569869,1614,1661,Constantijn Huygens,7807069,1596,1687,24-07-1644
Henrick Bruno,7807538,1617,1664,Constantijn Huygens,7807069,1596,1687,05-08-1644
Constantijn Huygens,7807069,1596,1687,Marin Mersenne,7584584,1588,1648,16-08-1644
Marin Mersenne,7584584,1588,1648,Constantijn Huygens,7807069,1596,1687,20-08-1644
Johannes Smetius,7807283,1590,1651,Constantijn Huygens,7807069,1596,1687,22-08-1644
Anthony Studler van Surck,8100268,1607,1666,Constantijn Huygens,7807069,1596,1687,30-08-1644
Alphonse Pollot,7582261,1602,1668,Constantijn Huygens,7807069,1596,1687,22-09-1644
Jan Janszn. Stampioen,7807809,1610,1653,Christiaan Huygens,7807824,1629,1695,1645
David le Leu de Wilhem,7807253,1588,1658,Constantijn Huygens,7807069,1596,1687,04-07-1645
Marin Mersenne,7584584,1588,1648,Constantijn Huygens,7807069,1596,1687,09-1646
Constantijn Huygens,7807069,1596,1687,Marin Mersenne,7584584,1588,1648,12-09-1646
Constantijn Huygens,7807069,1596,1687,Samuel Johnson,7808263,,,27-09-1646
Christiaan Huygens,7807824,1629,1695,Marin Mersenne,7584584,1588,1648,28-10-1646
Marin Mersenne,7584584,1588,1648,Christiaan Huygens,7807824,1629,1695,08-12-1646
Marin Mersenne,7584584,1588,1648,Constantijn Huygens,7807069,1596,1687,03-01-1647
Marin Mersenne,7584584,1588,1648,Christiaan Huygens,7807824,1629,1695,08-01-1647
Marin Mersenne,7584584,1588,1648,Constantijn Huygens,7807069,1596,1687,12-01-1647
Johannes Smetius,7807283,1590,1651,Constantijn Huygens,7807069,1596,1687,14-01-1647
Joachim Descartes,7807910,1602,1680,Marin Mersenne,7584584,1588,1648,29-01-1647
Henrick Bruno,7807538,1617,1664,Constantijn Huygens,7807069,1596,1687,13-12-1647
Florimond Debeaune,7807514,1601,1652,Frans van Schooten,7807852,1615,1660,1648
Marin Mersenne,7584584,1588,1648,Constantijn Huygens,7807069,1596,1687,04-01-1648
Constantijn Huygens,7807069,1596,1687,Marin Mersenne,7584584,1588,1648,13-01-1648
Marin Mersenne,7584584,1588,1648,Constantijn Huygens,7807069,1596,1687,17-03-1648
Constantijn Huygens,7807069,1596,1687,Marin Mersenne,7584584,1588,1648,06-04-1648
Marin Mersenne,7584584,1588,1648,Christiaan Huygens,7807824,1629,1695,02-05-1648
Frans van Schooten,7807852,1615,1660,Christiaan Huygens,7807824,1629,1695,03-06-1648
Constantijn Huygens,7807069,1596,1687,André Rivet,7807233,1572,1651,03-09-1648
Frans van Schooten,7807852,1615,1660,Constantijn Huygens,7807069,1596,1687,03-11-1648
Christiaan Huygens,7807824,1629,1695,Constantijn Jr. Huygens,7807952,1628,1697,25-12-1649
Christiaan Huygens,7807824,1629,1695,,,,,29-03-1650
Christiaan Huygens,7807824,1629,1695,Constantijn Jr. Huygens,7807952,1628,1697,29-03-1650
Constantijn Huygens,7807069,1596,1687,Christina Queen of Sweden,7807370,1626,1689,05-04-1650
Christiaan Huygens,7807824,1629,1695,Constantijn Jr. Huygens,7807952,1628,1697,12-04-1650
Constantijn Jr. Huygens,7807952,1628,1697,Christiaan Huygens,7807824,1629,1695,29-05-1650
Constantijn Huygens,7807069,1596,1687,Pierre Chanut,7807895,1601,1662,26-07-1650
Frans van Schooten,7807852,1615,1660,Christiaan Huygens,7807824,1629,1695,27-09-1650
Joachim Hübner,9906621,1611,1666,Samuel Hartlib,8125439,1600,1662,16-12-1636
Jan Amos Komenský,9906622,1592,1670,Samuel Hartlib,8125439,1600,1662,26-01-1638
Johann Adolf Tasse,9906623,1585,1654,Samuel Hartlib,8125439,1600,1662,21-02-1638
Joachim Hübner,9906621,1611,1666,Samuel Hartlib,8125439,1600,1662,04-01-1638
Abraham von Franckenberg,9906624,1593,1652,Samuel Hartlib,8125439,1600,1662,01-06-1638
Samuel Hartlib,8125439,1600,1662,Johann Adolf Tasse,9906623,1585,1654,10-08-1638
Johann Heinrich Bisterfeld,7807484,1605,1655,Samuel Hartlib,8125439,1600,1662,19-09-1638
Joachim Hübner,9906621,1611,1666,Jan Amos Komenský,9906622,1592,1670,24-12-1638
Joachim Hübner,9906621,1611,1666,Jan Amos Komenský,9906622,1592,1670,11-1639
Joachim Hübner,9906621,1611,1666,Samuel Hartlib,8125439,1600,1662,1638
Joachim Hübner,9906621,1611,1666,Jan Amos Komenský,9906622,1592,1670,01-03-1640
John Dury,7807769,1596,1680,Samuel Hartlib,8125439,1600,1662,01-05-1640
Marin Mersenne,7584584,1588,1648,Jan Amos Komenský,9906622,1592,1670,22-11-1640
,,,,Marin Mersenne,7584584,1588,1648,04-04-1643
Jan Amos Komenský,9906622,1592,1670,Johannes Hevelius,9604347,1611,1687,08-02-1645
Heinrich Appelius,9906625,,,Samuel Hartlib,8125439,1600,1662,01-06-1646
Claude de Saumaise,7807103,1588,1653,Isaäc Vossius,7807544,1618,1689,10-11-1649
Isaäc Vossius,7807544,1618,1689,Claude de Saumaise,7807103,1588,1653,12-1649
Isaäc Vossius,7807544,1618,1689,Claude de Saumaise,7807103,1588,1653,01-1650
Isaäc Vossius,7807544,1618,1689,Claude de Saumaise,7807103,1588,1653,16-02-1650
Johann Moriaen,8125428,1591,1668,Samuel Hartlib,8125439,1600,1662,11-03-1650
Isaäc Vossius,7807544,1618,1689,Claude de Saumaise,7807103,1588,1653,05-1650
Marin Mersenne,7584584,1588,1648,André Rivet,7807233,1572,1651,28-02-1629
Marin Mersenne,7584584,1588,1648,André Rivet,7807233,1572,1651,13-09-1629
Marin Mersenne,7584584,1588,1648,André Rivet,7807233,1572,1651,20-11-1631
Marin Mersenne,7584584,1588,1648,André Rivet,7807233,1572,1651,14-03-1632
Marin Mersenne,7584584,1588,1648,André Rivet,7807233,1572,1651,17-09-1632
Marin Mersenne,7584584,1588,1648,André Rivet,7807233,1572,1651,08-02-1634
Marin Mersenne,7584584,1588,1648,André Rivet,7807233,1572,1651,15-09-1636
Aimé de Gaignières,9910974,,,Marin Mersenne,7584584,1588,1648,17-02-1637
Joachim Hübner,9906621,1611,1666,Samuel Hartlib,8125439,1600,1662,21-06-1637
Joachim Hübner,9906621,1611,1666,Samuel Hartlib,8125439,1600,1662,16-08-1637
Kenelm Digby,9906629,1603,1665,Thomas Hobbes,7807623,1588,1679,04-10-1637
Marin Mersenne,7584584,1588,1648,Galileo Galilei,7807393,1564,1642,27-11-1637
Gabriel Naudé,9911076,1600,1653,Cassiano Dal Pozzo,9911063,1588,1657,04-12-1637
Jan Albert Ban,9911049,1598,1644,William Boswell,7808136,1591,1649,15-01-1638
Pierre de Fermat,7584740,1601,1665,Marin Mersenne,7584584,1588,1648,01-1638
Marin Mersenne,7584584,1588,1648,André Rivet,7807233,1572,1651,20-01-1638
Pierre de Fermat,7584740,1601,1665,Marin Mersenne,7584584,1588,1648,02-1638
Jean de Beaugrand,7584807,1584,1640,Marin Mersenne,7584584,1588,1648,03-1638
Henricus Reneri,7568881,1593,1639-03-20,Marin Mersenne,7584584,1588,1648,03-1638
Girard Desargues,7808176,1591,1661,Marin Mersenne,7584584,1588,1648,04-1638
Pierre de Fermat,7584740,1601,1665,Marin Mersenne,7584584,1588,1648,20-04-1638
André Rivet,7807233,1572,1651,Marin Mersenne,7584584,1588,1648,29-04-1638
Marin Mersenne,7584584,1588,1648,André Rivet,7807233,1572,1651,23-05-1638
Gilles Personne de Roberval,7585018,1602,1675,Pierre de Fermat,7584740,1601,1665,01-06-1638
Pierre de Fermat,7584740,1601,1665,Marin Mersenne,7584584,1588,1648,15-06-1638
Pierre de Fermat,7584740,1601,1665,Marin Mersenne,7584584,1588,1648,06-1638
Pierre de Fermat,7584740,1601,1665,Marin Mersenne,7584584,1588,1648,10-08-1638
Florimond Debeaune,7807514,1601,1652,Marin Mersenne,7584584,1588,1648,25-09-1638
Florimond Debeaune,7807514,1601,1652,Gilles Personne de Roberval,7585018,1602,1675,16-10-1638
Pierre de Fermat,7584740,1601,1665,Marin Mersenne,7584584,1588,1648,22-10-1638
Florimond Debeaune,7807514,1601,1652,Marin Mersenne,7584584,1588,1648,13-11-1638
Marin Mersenne,7584584,1588,1648,André Rivet,7807233,1572,1651,20-11-1638
Gabriel Naudé,9911076,1600,1653,Cassiano Dal Pozzo,9911063,1588,1657,24-11-1638
Pierre de Fermat,7584740,1601,1665,Marin Mersenne,7584584,1588,1648,26-12-1638
Florimond Debeaune,7807514,1601,1652,Marin Mersenne,7584584,1588,1648,26-02-1639
Florimond Debeaune,7807514,1601,1652,Marin Mersenne,7584584,1588,1648,05-03-1639
Florimond Debeaune,7807514,1601,1652,Marin Mersenne,7584584,1588,1648,26-03-1639
Florimond Debeaune,7807514,1601,1652,Marin Mersenne,7584584,1588,1648,03-04-1639
Jan Albert Ban,9911049,1598,1644,Marin Mersenne,7584584,1588,1648,12-04-1639
Jan Albert Ban,9911049,1598,1644,Marin Mersenne,7584584,1588,1648,17-04-1639
Samuel Sorbière,7807690,1615,1670,Claude Guiraud,9910908,,1657,22-07-1639
Marin Mersenne,7584584,1588,1648,André Rivet,7807233,1572,1651,15-09-1639
Jean Chapelain,7807545,1595,1674,Jean Louis Guez de Balzac,7807183,1597,1654,09-10-1639
Marin Mersenne,7584584,1588,1648,Theodor Haak,9906641,1605,1690,01-11-1639
Marin Mersenne,7584584,1588,1648,Theodor Haak,9906641,1605,1690,24-11-1639
Marin Mersenne,7584584,1588,1648,André Rivet,7807233,1572,1651,10-12-1639
