Correspondent ID,Correspondent,Correspondent birth,Correspondent death
7807076,Isaac Beeckman,1588,1637
7807069,Constantijn Huygens,1596,1687
7807199,Jacob Golius,1596,1667
7807253,David le Leu de Wilhem,1588,1658
7568881,Henricus Reneri,1593,1639-03-20
7807388,Abraham de Mory,1600,1645
7584740,Pierre de Fermat,1601,1665
7807075,Hugo de Groot,1583,1645
8100268,Anthony Studler van Surck,1607,1666
7582261,Alphonse Pollot,1602,1668
7807514,Florimond Debeaune,1601,1652
7807085,Erycius Puteanus,1574,1646
9911049,Jan Albert Ban,1598,1644
7807074,Caspar Barlaeus,1584,1648
7807538,Henrick Bruno,1617,1664
7807233,André Rivet,1572,1651
7807158,Jacob van der Burgh,1599,1659
7569869,Adriaan Heereboord,1614,1661
7584584,Marin Mersenne,1588,1648
7807283,Johannes Smetius,1590,1651
7807809,Jan Janszn. Stampioen,1610,1653
7807824,Christiaan Huygens,1629,1695
7807910,Joachim Descartes,1602,1680
7807852,Frans van Schooten,1615,1660
7807952,Constantijn Jr. Huygens,1628,1697
9906621,Joachim Hübner,1611,1666
9906622,Jan Amos Komenský,1592,1670
9906623,Johann Adolf Tasse,1585,1654
9906624,Abraham von Franckenberg,1593,1652
8125439,Samuel Hartlib,1600,1662
7807484,Johann Heinrich Bisterfeld,1605,1655
7807769,John Dury,1596,1680
9906625,Heinrich Appelius,,
7807103,Claude de Saumaise,1588,1653
7807544,Isaäc Vossius,1618,1689
8125428,Johann Moriaen,1591,1668
9910974,Aimé de Gaignières,,
9906629,Kenelm Digby,1603,1665
9911076,Gabriel Naudé,1600,1653
7584807,Jean de Beaugrand,1584,1640
7808176,Girard Desargues,1591,1661
7585018,Gilles Personne de Roberval,1602,1675
7807690,Samuel Sorbière,1615,1670
7807545,Jean Chapelain,1595,1674
9911085,John Pell,1611,1685
7808183,Lazare Meyssonnier,1611,1673
9910994,Christophe de Villiers,,
9910988,Théodore Deschamps,1588,
9910972,Giovanni Battista Baliani,1582,1666
7584535,Gysbertus Voetius,1589,1676
7807204,Pierre Gassendi,1592,1655
9906641,Theodor Haak,1605,1690
9910942,Jean Durelle,,
9910944,Jean-Baptiste Masoyer,,
7807229,Martinus Ruarus,1588,1657
9910937,Thomas de Martel,1618,1685
9911068,Evangelista Torricelli,1608,1647
9911015,Jacques de Valois,,
9910922,Nicolas Méliand,,1644
7808257,Charles Cavendish,1591,1654
7807903,Henricus Bornius,1617,1675
9604321,Ismaël Boulliau,1605,1694
9604364,Claude Mylon,1618,1660
9911051,Michelangelo Ricci,1619,1682
9911082,Honoré de Fabri,1607,1688
9910966,de Méru,,
9910971, Bonnel,,
7807623,Thomas Hobbes,1588,1679
9910954,Gabriel Thibaut,,
9910955,Jacques-Alexandre le Tenneur,1604,1659
9592113,Jacqueline Pascal,1625,1661
9910968,Jean François,1582,1668
9910904, Courtemblay,,
9911088,Athanasius Kircher,1601,1680
7807895,Pierre Chanut,1601,1662
9604347,Johannes Hevelius,1611,1687
7584907,Étienne Pascal,1588-05-02,1651-09-24
9910945,François Bonneau du Verdus,1621,1675
9911053,Emmanuel Maignan,1601,1676
7808279,Adrien Auzout,1622,1691
10107740,Jean-Maximilien de l'Ange,1574,
7807131,Nicolas-Claude Fabry de Peiresc,1580,1637
7807080,Daniël Heinsius,1580,1655
7807331,Samson Johnson,1603,1661
7807079,Willem de Groot,1597,1662
7808263,Samuel Johnson,,
7807370,Christina Queen of Sweden,1626,1689
7807393,Galileo Galilei,1564,1642
9911063,Cassiano Dal Pozzo,1588,1657
7808136,William Boswell,1591,1649
9910908,Claude Guiraud,,1657
7807183,Jean Louis Guez de Balzac,1597,1654
9910980,Louis-Emmanuel de Valois,1596,1653
7807517,Andreas Colvius,1594,1671
7807978,Pierre de Carcavy,1600,1684
9911101,Thomas Bartholin,1616,1680
9910894,Gilberte Pascal Périer,1620,1687
7808265,Étienne Noël,1581,1659
