Letter ID,Sender,Recipient,Date ,Sender ID,Recipient ID,Origin,Destination,Origin GeoNames ID,Destination GeoNames ID
8063638,Isaac Beeckman,Marin Mersenne,1629-03,7807076,7584584,Dordrecht (NL),Paris (FR),2756669,2988507
8063688,Isaac Beeckman,Marin Mersenne,1629-06,7807076,7584584,Dordrecht (NL),Paris (FR),2756669,2988507
8063757,Isaac Beeckman,Marin Mersenne,1629-10-01,7807076,7584584,Dordrecht (NL),Paris (FR),2756669,2988507
8064349,Isaac Beeckman,Marin Mersenne,1631-10-07,7807076,7584584,Dordrecht (NL),Paris (FR),2756669,2988507
8064483,Constantijn Huygens,Jacob Golius,1632-04-07,7807069,7807199,Den Haag (NL),Leiden (NL),2747373,2751773
8064490,Jacob Golius,Constantijn Huygens,1632-04-16,7807199,7807069,Leiden (NL),Den Haag (NL),2751773,2747373
8064508,David le Leu de Wilhem,Constantijn Huygens,1632-06-04,7807253,7807069,Den Haag (NL),Venlo (NL),2747373,2745641
8064563,Constantijn Huygens,David le Leu de Wilhem,1632-09-19,7807069,7807253,Maastricht (NL),Den Haag (NL),2751283,2747373
8064578,Constantijn Huygens,Jacob Golius,1632-10-21,7807069,7807199,Maastricht (NL),Leiden (NL),2751283,2751773
8064589,Jacob Golius,Constantijn Huygens,1632-11-01,7807199,7807069,Leiden (NL),Maastricht (NL),2751773,2751283
8065505,Henricus Reneri,Constantijn Huygens,1635-04-14,7568881,7807069,Utrecht (NL),Den Haag (NL),2745912,2747373
8066509,Abraham de Mory,Constantijn Huygens,1636-07-16,7807388,7807069,Den Haag (NL),Amsterdam (NL),2747373,2759794
8067035,Pierre de Fermat,Marin Mersenne,1637-04,7584740,7584584,Toulouse (FR),Paris (FR),2972315,2988507
8067144,Hugo de Groot,Nicolas-Claude Fabry de Peiresc,1637-05-22,7807075,7807131,Paris (FR),Aix-en-Provence (FR),2988507,3038354
8067388,Anthony Studler van Surck,Constantijn Huygens,1637-08-17,8100268,7807069,Amsterdam (NL),Ginneken (NL),2759794,
8067631,Pierre de Fermat,Marin Mersenne,1637-11,7584740,7584584,Toulouse (FR),Paris (FR),2972315,2988507
8067755,Alphonse Pollot,Constantijn Huygens,1638-01-30,7582261,7807069,,,,
8068090,David le Leu de Wilhem,Constantijn Huygens,1638-06-05,7807253,7807069,Den Haag (NL),Heerewaarden (NL),2747373,2754662
8068131,Constantijn Huygens,Erycius Puteanus,1638-06-25,7807069,7807085,Bergen op Zoom (NL),Leuven (BE),2759145,2792482
8068151,Constantijn Huygens,Daniël Heinsius,1638-06-30,7807069,7807080,Bergen op Zoom (NL),Leiden (NL),2759145,2751773
8068414,Hugo de Groot,Samson Johnson,1638-09-30,7807075,7807331,Paris (FR),Den Haag (NL),2988507,2747373
8068511,Florimond Debeaune,Marin Mersenne,1638-11-13,7807514,7584584,Blois (FR),Paris (FR),3032213,2988507
